251,Ad-Din Akij Medical College,AAMC,Khulna,Medical Collage,Private
252,Monowara Sikder Medical College,MSMC,Shariatpur,Medical Collage,Private
253,Bashundhara Ad-din Medical College,BAMC,Dhaka,Medical Collage,Private
254,Aichi Medical College,AIMC,Dhaka,Medical Collage,Private
255,Marine City Medical College,MCMC,Chittagong,Medical Collage,Private
256,Khulna City Medical College,KCMC,Khulna,Medical Collage,Private
257,Chattagram International Medical College,CIMCH,Chittagong,Medical Collage,Private
258,United Medical College,UnMC,Dhaka,Medical Collage,Private
259,South Apollo Medical College,SAMC,Barishal,Medical Collage,Private
260,Ahsania Mission Medical College,AMMC,Dhaka,Medical Collage,Private
261,Armed Forces Medical College,AFMC,Dhaka Cantonment,Medical Collage,Military
262,Army Medical College Bogura,AMCB,Bogra Cantonment,Medical Collage,Military
263,"Army Medical College, Chittagong",AMCC,Chittagong Cantonment,Medical Collage,Military
264,Army Medical College Cumilla,AMCCu,Cumilla Cantonment,Medical Collage,Military
265,"Army Medical College, Jashore",AMCJ,Jashore Cantonment,Medical Collage,Military
266,Rangpur Army Medical College,RAMC,Rangpur Cantonment,Medical Collage,Military
